case,halo_dose_cm-2,halo_energy_keV,halo_tilt_deg,Ioff_A_per_um,Ion_Ioff,SS_mV_per_dec,notes
HKMG_only,,,,,0.89,,Severe punch-through; SS not extractable in the report
HKMG_plus_Halo_final,2e13,20,25,1.465e-15,1.41e12,68-69,Final selected condition
